multiplier,income
1,10000
0.998746867,10116.08643
0.997493734,10233.52047
0.996240602,10352.31776
0.994987469,10472.49412
0.993734336,10594.06557
0.992481203,10717.0483
0.99122807,10841.45869
0.989974937,10967.31332
0.988721805,11094.62894
0.987468672,11223.42253
0.986215539,11353.71124
0.984962406,11485.51242
0.983709273,11618.84364
0.98245614,11753.72265
0.981203008,11890.16742
0.979949875,12028.19614
0.978696742,12167.82717
0.977443609,12309.07914
0.976190476,12451.97085
0.974937343,12596.52133
0.973684211,12742.74986
0.972431078,12890.67589
0.971177945,13040.31915
0.969924812,13191.69956
0.968671679,13344.8373
0.967418546,13499.75275
0.966165414,13656.46657
0.964912281,13814.99962
0.963659148,13975.37302
0.962406015,14137.60814
0.961152882,14301.72659
0.959899749,14467.75023
0.958646617,14635.70118
0.957393484,14805.60181
0.956140351,14977.47476
0.954887218,15151.34292
0.953634085,15327.22946
0.952380952,15505.1578
0.95112782,15685.15164
0.949874687,15867.23497
0.948621554,16051.43204
0.947368421,16237.76739
0.946115288,16426.26584
0.944862155,16616.9525
0.943609023,16809.85277
0.94235589,17004.99236
0.941102757,17202.39725
0.939849624,17402.09374
0.938596491,17604.10844
0.937343358,17808.46825
0.936090226,18015.20041
0.934837093,18224.33244
0.93358396,18435.89222
0.932330827,18649.90791
0.931077694,18866.40804
0.929824561,19085.42144
0.928571429,19306.97729
0.927318296,19531.1051
0.926065163,19757.83473
0.92481203,19987.19639
0.923558897,20219.22062
0.922305764,20453.93834
0.921052632,20691.38081
0.919799499,20931.57967
0.918546366,21174.56691
0.917293233,21420.3749
0.9160401,21669.03639
0.914786967,21920.58451
0.913533835,22175.05275
0.912280702,22432.47503
0.911027569,22692.88563
0.909774436,22956.31924
0.908521303,23222.81096
0.90726817,23492.39629
0.906015038,23765.11114
0.904761905,24040.99184
0.903508772,24320.07513
0.902255639,24602.39821
0.901002506,24887.99867
0.899749373,25176.91457
0.898496241,25469.18439
0.897243108,25764.84707
0.895989975,26063.94198
0.894736842,26366.50899
0.893483709,26672.58838
0.892230576,26982.22095
0.890977444,27295.44792
0.889724311,27612.31104
0.888471178,27932.85251
0.887218045,28257.11503
0.885964912,28585.1418
0.884711779,28916.97651
0.883458647,29252.66337
0.882205514,29592.24711
0.880952381,29935.77295
0.879699248,30283.28666
0.878446115,30634.83453
0.877192982,30990.46339
0.87593985,31350.22063
0.874686717,31714.15415
0.873433584,32082.31245
0.872180451,32454.74457
0.870927318,32831.50013
0.869674185,33212.6293
0.868421053,33598.18286
0.86716792,33988.21218
0.865914787,34382.76921
0.864661654,34781.90651
0.863408521,35185.67726
0.862155388,35594.13523
0.860902256,36007.33485
0.859649123,36425.33115
0.85839599,36848.17983
0.857142857,37275.9372
0.855889724,37708.66026
0.854636591,38146.40664
0.853383459,38589.23467
0.852130326,39037.20333
0.850877193,39490.3723
0.84962406,39948.80194
0.848370927,40412.55333
0.847117794,40881.68824
0.845864662,41356.26918
0.844611529,41836.35935
0.843358396,42322.02272
0.842105263,42813.32399
0.84085213,43310.32859
0.839598997,43813.10275
0.838345865,44321.71342
0.837092732,44836.22838
0.835839599,45356.71616
0.834586466,45883.2461
0.833333333,46415.88834
0.832080201,46954.71382
0.830827068,47499.79435
0.829573935,48051.20251
0.828320802,48609.01178
0.827067669,49173.29646
0.825814536,49744.13171
0.824561404,50321.59359
0.823308271,50905.75902
0.822055138,51496.70582
0.820802005,52094.5127
0.819548872,52699.25932
0.818295739,53311.02622
0.817042607,53929.8949
0.815789474,54555.94781
0.814536341,55189.26835
0.813283208,55829.94087
0.812030075,56478.05074
0.810776942,57133.68428
0.80952381,57796.92884
0.808270677,58467.87277
0.807017544,59146.60545
0.805764411,59833.21729
0.804511278,60527.79976
0.803258145,61230.4454
0.802005013,61941.24779
0.80075188,62660.30164
0.799498747,63387.70273
0.798245614,64123.54796
0.796992481,64867.93535
0.795739348,65620.96407
0.794486216,66382.73443
0.793233083,67153.34791
0.79197995,67932.90717
0.790726817,68721.51605
0.789473684,69519.27962
0.788220551,70326.30413
0.786967419,71142.69711
0.785714286,71968.5673
0.784461153,72804.02472
0.78320802,73649.18067
