"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"output_secondary_nochildren",10000,10476.15753,10974.98765,11497.56995,12045.0354,12618.56883,13219.41148,13848.86371,14508.28778,15199.11083,15922.82793,16681.00537,17475.284,18307.3828,19179.10262,20092.33003,21049.04145,22051.3074,23101.297,24201.28265,25353.64494,26560.87783,27825.59402,29150.53063,30538.55509,31992.67138,33516.02651,35111.91734,36783.79772,38535.28594,40370.17259,42292.42874,44306.21458,46415.88834,48626.0158,50941.38015,53366.99231,55908.10183,58570.20818,61359.07273,64280.73117,67341.50658,70548.02311,73907.22034,77426.36827,81113.08308,84975.34359,89021.50854,93260.33469,97700.99573,102353.1022,107226.7222,112332.4033,117681.1952,123284.6739,129154.9665,135304.7775,141747.4163,148496.8262,155567.6144,162975.0835,170735.2647,178864.9529,187381.7423,196304.065,205651.2308,215443.469,225701.972,236448.9413,247707.6356,259502.4211,271858.8243,284803.5868,298364.724,312571.585,327454.9163,343046.9286,359381.3664,376493.5807,394420.6059,413201.24,432876.1281,453487.8508,475081.0162,497702.3564,521400.8288,546227.7218,572236.7659,599484.2503,628029.1442,657933.2247,689261.2104,722080.9018,756463.3276,792482.8984,830217.5681,869749.0026,911162.7561,954548.4567,1e+06
"penaltysecondary",0.0764437689969605,0.0764437689969605,0.0764437689969605,0.0764437689969605,0.0764437689969605,0.0764437689969605,0.0764437689969605,0.153003890762584,0.153003890762528,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.176443768996962,0.176443768996983,0.176443768996955,0.176443768996983,0.176443768996926,0.176443768996983,0.176443768996983,0.176443768996983,0.176443768996983,0.176443768997097,0.176443768997097,0.176443768997097,0.176443768997097,0.17644376899687,0.226443768997051,0.226443768997051,0.226443768997051,0.226443768997506,0.226443768997506,0.226443768996597,0.226443768996597,0.226443768996597,0.226443768997506,0.226443768997506,0.226443768996597,0.226443768997506,0.226443768996597,0.226443768997506,0.226443768997506,0.226443768996597,0.226443768998416,0.226443768996597,0.226443768998416,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.356443768999434,0.356443768995796,0.356443768995796,0.356443768995796,0.356443768995796,0.356443768995796,0.356443768995796,0.356443769003072,0.415443769004178,0.415443768989626,0.415443768996902,0.415443768989626,0.436563769009063,0.436563769009063,0.436563768979959,0.436563768979959,0.436563769009063,0.436563768994511,0.436563769009063,0.457843769009906,0.435443769008253,0.435443768964597,0.481443768995796,0.4814437690249,0.4814437690249,0.481443768995796,0.481443768966692,0.4814437690249,0.481443768995796,0.481443768995796,0.481443768995796,0.481443768995796,0.481443768966692,0.481443768908485,0.481443768966692,0.4814437690249,0.481443768966692,0.481443768966692
"penaltysecondary",0.0764437689969606,0.0764437689969606,0.0764437689969597,0.0764437689969606,0.0764437689969606,0.0764437689969606,0.0764437689969606,0.153003890762585,0.153003890762527,0.153003890762585,0.153003890762584,0.153003890762584,0.153003890762585,0.153003890762585,0.153003890762585,0.153003890762585,0.176443768996961,0.176443768996984,0.176443768996956,0.176443768996982,0.176443768996926,0.176443768996984,0.176443768996984,0.176443768996982,0.176443768996984,0.176443768997096,0.176443768997096,0.176443768997098,0.176443768997096,0.176443768996869,0.226443768997052,0.226443768997051,0.226443768997051,0.226443768997505,0.226443768997509,0.226443768996596,0.226443768996596,0.226443768996596,0.226443768997505,0.226443768997505,0.226443768996596,0.226443768997505,0.226443768996596,0.226443768997505,0.226443768997509,0.226443768996596,0.226443768998415,0.226443768996596,0.226443768998415,0.32644376899696,0.32644376899696,0.32644376899696,0.326443768996967,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.32644376899696,0.326443768996967,0.356443768999426,0.356443768995803,0.356443768995788,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.356443769003064,0.415443769004185,0.415443768989618,0.415443768996894,0.415443768989633,0.436563769009069,0.436563769009069,0.436563768979937,0.436563768979937,0.436563769009069,0.436563768994517,0.436563769009069,0.457843769009912,0.435443769008259,0.435443768964603,0.481443768995803,0.481443769024906,0.481443769024906,0.481443768995774,0.481443768966699,0.481443769024906,0.481443768995803,0.481443768995803,0.481443768995803,0.481443768995803,0.481443768966699,0.481443768908434,0.481443768966699,0.481443769024906,0.481443768966699,0.481443768966699
"penaltysecondary",0.0764437689969597,0.0764437689969615,0.0764437689969597,0.0764437689969597,0.0764437689969597,0.0764437689969615,0.0764437689969615,0.153003890762584,0.153003890762529,0.153003890762585,0.153003890762584,0.153003890762585,0.153003890762585,0.153003890762585,0.153003890762584,0.153003890762584,0.176443768996961,0.176443768996982,0.176443768996954,0.176443768996982,0.176443768996926,0.176443768996982,0.176443768996986,0.176443768996982,0.176443768996982,0.176443768997096,0.176443768997096,0.176443768997096,0.176443768997096,0.176443768996869,0.226443768997051,0.226443768997058,0.226443768997051,0.226443768997505,0.226443768997505,0.226443768996596,0.226443768996596,0.226443768996596,0.226443768997505,0.226443768997513,0.226443768996596,0.226443768997505,0.226443768996596,0.226443768997505,0.226443768997513,0.226443768996596,0.226443768998408,0.226443768996603,0.226443768998408,0.326443768996953,0.326443768996953,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996953,0.326443768996953,0.326443768996953,0.326443768996967,0.326443768996967,0.326443768996953,0.326443768996938,0.356443768999412,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.356443769003079,0.415443769004185,0.415443768989633,0.415443768996909,0.415443768989633,0.436563769009069,0.436563769009069,0.436563768979966,0.436563768979966,0.436563769009013,0.436563768994517,0.436563769009069,0.457843769009912,0.435443769008259,0.435443768964603,0.481443768995746,0.481443769024906,0.481443769024906,0.481443768995803,0.481443768966699,0.481443769024906,0.404999999998836,0.404999999998836,0.404999999998836,0.404999999998836,0.404999999969732,0.328556230914558,0.328556230972765,0.328556231030973,0.328556230972822,0.328556230972765
"penaltysecondary",0.0764437689969597,0.0764437689969597,0.0764437689969615,0.0764437689969615,0.0764437689969615,0.0764437689969597,0.0764437689969597,0.153003890762584,0.153003890762527,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762587,0.153003890762584,0.153003890762584,0.176443768996961,0.176443768996982,0.176443768996954,0.176443768996986,0.176443768996929,0.176443768996982,0.176443768996982,0.176443768996982,0.176443768996982,0.176443768997103,0.176443768997096,0.176443768997096,0.176443768997096,0.176443768996869,0.226443768997051,0.226443768997051,0.226443768997051,0.226443768997505,0.226443768997505,0.226443768996596,0.226443768996596,0.226443768996589,0.226443768997498,0.226443768997498,0.226443768996603,0.226443768997498,0.226443768996603,0.226443768997513,0.226443768997513,0.226443768996603,0.226443768998422,0.226443768996603,0.226443768998422,0.326443768996953,0.326443768996967,0.326443768996953,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996938,0.326443768996967,0.326443768996967,0.326443768996967,0.356443768999441,0.356443768995803,0.356443768995774,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.356443769003079,0.415443769004185,0.415443768989633,0.415443768996909,0.415443768989633,0.436563769009069,0.436563769009069,0.436563768979966,0.436563768979909,0.436563769009069,0.436563768994517,0.436563769009069,0.457843769009912,0.359000000011292,0.358999999967637,0.404999999998836,0.40500000002794,0.328556231030973,0.328556231001869,0.328556230972765,0.328556231030973,0.328556231001812,0.228556231001846,0.228556231001875,0.228556231001875,0.228556230972771,0.228556230914563,0.228556230972856,0.228556231031007,0.228556230972742,0.304999999969709
"penaltysecondary",0.0764437689969615,0.0764437689969597,0.0764437689969597,0.0764437689969633,0.0764437689969633,0.0764437689969597,0.0764437689969597,0.153003890762584,0.15300389076253,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762587,0.153003890762584,0.176443768996961,0.176443768996982,0.176443768996954,0.176443768996982,0.176443768996926,0.176443768996982,0.176443768996982,0.176443768996982,0.17644376899699,0.176443768997096,0.176443768997103,0.176443768997096,0.176443768997096,0.176443768996869,0.226443768997051,0.226443768997058,0.226443768997044,0.226443768997498,0.226443768997498,0.226443768996589,0.226443768996603,0.226443768996589,0.226443768997513,0.226443768997513,0.226443768996589,0.226443768997498,0.226443768996603,0.226443768997513,0.226443768997498,0.226443768996589,0.226443768998422,0.226443768996603,0.226443768998422,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996938,0.326443768996967,0.356443768999441,0.356443768995803,0.356443768995746,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.356443769003079,0.415443769004185,0.415443768989576,0.415443768996909,0.415443768989633,0.436563769009013,0.360120000012103,0.360119999982999,0.360119999982999,0.360120000012103,0.360119999997551,0.283676231015136,0.304956231016035,0.282556231014325,0.282556230970613,0.328556231001869,0.228556231031064,0.228556231030922,0.228556231001875,0.228556230972771,0.228556231030979,0.228556231001846,0.228556231001903,0.228556231001903,0.304999999998813,0.304999999969709,0.304999999911502,0.304999999969709,0.305000000027917,0.304999999969709,0.254999999969868
"penaltysecondary",0.0764437689969633,0.0764437689969597,0.0764437689969633,0.0764437689969597,0.0764437689969597,0.0764437689969597,0.0764437689969597,0.153003890762587,0.153003890762527,0.153003890762584,0.153003890762587,0.153003890762584,0.153003890762584,0.153003890762591,0.153003890762584,0.153003890762584,0.176443768996961,0.176443768996982,0.176443768996954,0.176443768996982,0.176443768996926,0.176443768996982,0.176443768996982,0.176443768996982,0.176443768996982,0.176443768997096,0.176443768997089,0.176443768997089,0.176443768997103,0.176443768996876,0.226443768997058,0.226443768997044,0.226443768997044,0.226443768997513,0.226443768997513,0.226443768996603,0.226443768996589,0.226443768996603,0.226443768997513,0.226443768997513,0.226443768996603,0.226443768997513,0.226443768996603,0.226443768997484,0.226443768997513,0.226443768996603,0.226443768998394,0.226443768996603,0.226443768998422,0.326443768996967,0.326443768996938,0.326443768996967,0.326443768996967,0.326443768996938,0.326443768996967,0.326443768996938,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.32644376899691,0.326443768996967,0.356443768999441,0.356443768995746,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.356443769003079,0.415443769004185,0.338999999992666,0.338999999999942,0.338999999992666,0.360120000012103,0.283676231015136,0.283676230986032,0.283676230986032,0.283676231015193,0.283676231000584,0.183676231015113,0.204956231015984,0.182556231014274,0.182556230970647,0.228556231001875,0.228556231031007,0.22855623103095,0.228556231001846,0.304999999969709,0.305000000027917,0.304999999998813,0.304999999998813,0.304999999998813,0.304999999998813,0.254999999969641,0.254999999911661,0.254999999969641,0.255000000028076,0.254999999969641,0.254999999969641
"penaltysecondary",0.0764437689969597,0.0764437689969597,0.0764437689969633,0.0764437689969633,0.0764437689969633,0.0764437689969597,0.0764437689969597,0.153003890762584,0.153003890762527,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.176443768996961,0.176443768996982,0.176443768996954,0.176443768996982,0.176443768996933,0.176443768996982,0.17644376899699,0.17644376899699,0.17644376899699,0.176443768997103,0.176443768997103,0.176443768997089,0.176443768997089,0.176443768996876,0.226443768997044,0.226443768997058,0.226443768997044,0.226443768997513,0.226443768997513,0.226443768996589,0.226443768996603,0.226443768996603,0.226443768997513,0.226443768997513,0.226443768996603,0.226443768997513,0.226443768996603,0.226443768997513,0.226443768997513,0.226443768996603,0.226443768998422,0.226443768996603,0.226443768998422,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.32644376899691,0.326443768996967,0.326443768996967,0.326443768996967,0.356443768999441,0.356443768995803,0.356443768995803,0.356443768995803,0.356443768995803,0.279999999998836,0.279999999998836,0.280000000006112,0.339000000007218,0.338999999992666,0.262556231003032,0.262556230995699,0.283676231015136,0.283676231015193,0.183676230986009,0.183676230985981,0.18367623101517,0.183676231000589,0.183676231015141,0.204956231015956,0.18255623101436,0.182556230970647,0.304999999998813,0.305000000027917,0.305000000027917,0.304999999998813,0.304999999969709,0.305000000027917,0.254999999998859,0.254999999998972,0.254999999998972,0.254999999998972,0.254999999969641,0.254999999911433,0.254999999969868,0.255000000027849,0.254999999970096,0.254999999970096
"penaltysecondary",0.0764437689969597,0.0764437689969597,0.0764437689969597,0.0764437689969597,0.0764437689969597,0.0764437689969597,0.0764437689969597,0.153003890762584,0.153003890762527,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.176443768996968,0.176443768996982,0.176443768996954,0.176443768996975,0.176443768996918,0.17644376899699,0.17644376899699,0.176443768996975,0.17644376899699,0.176443768997089,0.176443768997103,0.176443768997103,0.176443768997103,0.176443768996876,0.226443768997044,0.226443768997044,0.226443768997058,0.226443768997513,0.226443768997513,0.226443768996603,0.226443768996603,0.226443768996603,0.226443768997513,0.226443768997513,0.226443768996575,0.226443768997513,0.226443768996603,0.226443768997513,0.226443768997484,0.226443768996575,0.226443768998422,0.226443768996603,0.226443768998422,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.356443768999441,0.279999999998836,0.279999999998836,0.279999999998836,0.279999999998836,0.279999999998836,0.203556231001869,0.203556231009145,0.262556231010251,0.262556230995699,0.262556231002975,0.162556230995676,0.183676231015113,0.183676231015141,0.183676230986038,0.183676230986038,0.183676231015113,0.183676231000561,0.18367623101517,0.281400000012923,0.25900000001127,0.258999999967614,0.304999999998927,0.305000000027917,0.305000000027917,0.254999999998972,0.254999999969641,0.255000000027849,0.254999999998972,0.254999999998745,0.254999999998745,0.254999999998745,0.254999999969641,0.254999999911888,0.254999999970096,0.255000000028303,0.254999999969641,0.254999999969641
"penaltysecondary",0.0764437689969597,0.0764437689969597,0.0764437689969668,0.0764437689969597,0.0764437689969597,0.0764437689969668,0.0764437689969597,0.153003890762584,0.153003890762527,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762584,0.153003890762591,0.176443768996968,0.176443768996975,0.176443768996961,0.176443768996975,0.176443768996918,0.176443768996975,0.17644376899699,0.17644376899699,0.17644376899699,0.176443768997089,0.176443768997089,0.176443768997089,0.176443768997103,0.176443768996862,0.226443768997058,0.226443768997058,0.226443768997058,0.226443768997513,0.226443768997513,0.226443768996603,0.226443768996603,0.226443768996603,0.226443768997513,0.226443768997513,0.226443768996603,0.226443768997513,0.226443768996603,0.226443768997513,0.226443768997484,0.226443768996603,0.226443768998422,0.226443768996603,0.226443768998422,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.32644376899691,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.326443768996967,0.25,0.25,0.280000000002474,0.279999999998836,0.279999999998836,0.203556231001926,0.203556231001869,0.203556231001926,0.203556231001869,0.203556231009088,0.162556231010228,0.162556230995676,0.162556231003009,0.162556230995676,0.183676231015141,0.183676231015113,0.183676230986009,0.183676230986066,0.260120000012137,0.260119999997528,0.260120000012193,0.281400000012923,0.25900000001127,0.258999999967614,0.254999999998859,0.255000000028076,0.255000000027849,0.254999999998745,0.254999999969641,0.255000000027849,0.254999999998745,0.2549999999992,0.25499999999829,0.254999999998745,0.254999999969641,0.254999999911433,0.254999999969641,0.255000000027849,0.254999999969641,0.254999999969641
